GPL_NAME,GPL_TYPE,GSS_CD,GSS_NM,GSS_ENTITY_CD,GSS_ENTITY_NM,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020
East Renfrewshire Council,Workplace,S12000011,East Renfrewshire,S12,Council Area,-3,0,2,2,2,-3,-2,1,1,1,0,1,-2,-2,-2,0,2,1,1,-2,-1,-2,-1,-1,-2,-1,-4,-1,-8,-12,-20,-27,-30,-32,-27,-35,-53,-67,-73,-74,-76,-62,-56
East Renfrewshire Council,Residential,S12000011,East Renfrewshire,S12,Council Area,NA,0,0,0,0,2,NA,NA,1,0,0,0,1,NA,NA,0,0,-1,0,0,NA,NA,1,1,2,2,2,NA,NA,5,9,12,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
East Riding of Yorkshire,Retail & recreation,E06000011,East Riding of Yorkshire,E06,Unitary Authority,-7,10,12,10,6,7,-4,4,-5,0,3,2,0,1,9,7,4,8,7,9,6,12,2,3,5,4,6,2,9,3,-5,-13,-10,-14,-41,-52,-42,-69,-71,-72,-73,-82,-85
East Riding of Yorkshire,Grocery & pharmacy,E06000011,East Riding of Yorkshire,E06,Unitary Authority,-6,-1,-1,-2,-1,-1,-2,0,-4,5,-2,3,0,1,5,3,3,5,7,6,6,10,5,6,4,11,11,12,18,27,30,27,31,18,16,-2,-1,-21,-24,-24,-26,-39,-45
East Riding of Yorkshire,Parks,E06000011,East Riding of Yorkshire,E06,Unitary Authority,-28,26,38,38,17,20,-3,-6,-11,7,10,10,-14,-17,12,21,22,22,29,53,60,42,17,19,29,15,41,34,32,42,34,12,51,44,37,37,12,-10,-8,-3,-36,-59,-61
East Riding of Yorkshire,Transit stations,E06000011,East Riding of Yorkshire,E06,Unitary Authority,12,6,10,4,2,5,8,21,4,10,8,2,-4,-3,6,4,1,2,2,7,5,12,1,6,3,12,14,5,22,12,6,-6,-3,-5,-13,10,-17,-37,-38,-39,-45,-60,-51
East Riding of Yorkshire,Workplace,E06000011,East Riding of Yorkshire,E06,Unitary Authority,-4,-17,-16,-16,-17,-18,-3,-1,-2,1,1,0,-1,-1,0,1,0,0,1,0,4,1,1,1,0,0,-2,0,-1,-3,-8,-14,-18,-20,-21,-25,-36,-50,-59,-61,-62,-55,-52
East Riding of Yorkshire,Residential,E06000011,East Riding of Yorkshire,E06,Unitary Authority,1,2,3,2,3,3,1,0,1,1,0,0,1,0,-1,0,0,0,0,0,-1,-1,1,1,1,1,1,1,0,2,5,8,8,9,9,7,14,20,23,24,25,18,14
East Sussex,Retail & recreation,E10000011,East Sussex,E10,County,-21,7,13,10,8,9,-2,-10,-8,-1,2,1,-5,-1,7,5,5,0,-9,7,1,4,3,-4,0,2,0,-5,-4,3,-9,-15,-15,-28,-43,-53,-40,-69,-70,-72,-75,-83,-87
East Sussex,Grocery & pharmacy,E10000011,East Sussex,E10,County,-12,0,-1,1,0,1,-2,-2,-1,5,2,2,-1,2,3,6,3,3,-3,7,3,4,5,4,5,11,10,8,10,24,26,29,27,11,7,-9,-2,-21,-23,-27,-27,-37,-46
East Sussex,Parks,E10000011,East Sussex,E10,County,-46,21,37,28,13,29,-10,-22,-17,-1,15,2,-16,-19,19,16,18,-1,-18,33,9,13,20,-3,12,19,30,5,13,46,21,16,16,-6,18,25,12,-9,0,0,-17,-51,-60
East Sussex,Transit stations,E10000011,East Sussex,E10,County,-19,-5,-3,-4,-6,0,-2,-4,-2,2,1,-1,0,2,7,3,2,1,-4,8,4,2,3,-3,-3,-2,-1,-5,-3,-3,-15,-22,-23,-31,-29,-27,-41,-55,-58,-62,-61,-65,-68
East Sussex,Workplace,E10000011,East Sussex,E10,County,-6,-18,-18,-18,-19,-18,-2,-4,-1,1,1,-1,-1,0,1,1,1,0,-2,0,1,0,1,-1,-1,-1,-2,-2,-3,-5,-12,-19,-24,-26,-24,-30,-42,-56,-62,-64,-64,-57,-58
East Sussex,Residential,E10000011,East Sussex,E10,County,2,3,3,3,3,2,1,0,2,0,0,1,1,1,0,0,0,1,2,0,0,0,1,1,1,2,2,3,1,3,6,9,11,12,10,8,15,22,23,25,25,18,14
Edinburgh,Retail & recreation,S12000036,City of Edinburgh,S12,Council Area,6,9,7,9,7,-1,-6,1,-7,1,3,4,4,6,-1,4,11,6,4,1,4,30,2,-1,-1,-5,-9,-16,-14,-14,-27,-33,-36,-46,-64,-66,-61,-78,-80,-83,-84,-87,-86
Edinburgh,Grocery & pharmacy,S12000036,City of Edinburgh,S12,Council Area,3,-1,1,0,0,-1,-5,2,-5,4,0,0,0,1,-1,2,3,5,4,5,3,6,2,2,4,10,11,8,8,12,12,15,14,3,-7,-18,-19,-29,-33,-36,-36,-39,-44
Edinburgh,Parks,S12000036,City of Edinburgh,S12,Council Area,7,25,19,24,21,-9,-29,15,-12,8,17,24,-11,-3,-16,16,18,20,24,8,0,29,19,-7,-2,-6,-6,-15,-1,-5,-18,-10,17,-8,-38,4,-26,-37,-32,-50,-65,-64,-42
Edinburgh,Transit stations,S12000036,City of Edinburgh,S12,Council Area,6,9,7,8,8,8,-4,10,1,2,2,3,7,5,2,1,3,1,0,4,5,20,4,-5,-6,-10,-12,-19,-18,-27,-39,-46,-49,-52,-60,-62,-66,-78,-81,-84,-84,-83,-83
Edinburgh,Workplace,S12000036,City of Edinburgh,S12,Council Area,1,-3,-1,0,-1,-2,0,3,-2,-1,0,0,0,3,3,-1,0,0,-1,-1,2,5,-2,-2,-3,-5,-10,-5,-6,-18,-29,-38,-42,-43,-37,-43,-62,-74,-78,-80,-79,-67,-67
Edinburgh,Residential,S12000036,City of Edinburgh,S12,Council Area,0,1,0,0,0,1,2,-1,2,0,0,-1,0,0,0,0,0,0,0,0,0,-1,1,2,1,3,4,4,3,7,12,15,16,17,13,11,23,29,31,33,33,22,18
Essex,Retail & recreation,E10000012,Essex,E10,County,-16,9,10,9,5,6,-2,-6,-3,1,2,-2,1,0,7,4,5,6,-3,7,2,3,4,4,6,2,1,-5,-8,2,-5,-8,-11,-20,-41,-51,-37,-66,-69,-70,-72,-80,-84
Essex,Grocery & pharmacy,E10000012,Essex,E10,County,-12,-1,-4,-3,-4,-2,-3,-5,-2,3,-2,-2,-1,-1,0,2,-1,0,-5,3,-2,-2,1,2,2,8,9,6,6,21,23,29,29,13,3,-12,-6,-23,-25,-27,-28,-41,-49
Essex,Parks,E10000012,Essex,E10,County,-45,23,15,10,0,22,-4,-15,-6,3,2,-2,-11,-23,19,10,3,2,-13,28,15,9,14,5,16,11,23,-2,3,27,9,4,-1,13,17,22,1,-15,-10,-6,-12,-48,-58
Essex,Transit stations,E10000012,Essex,E10,County,-9,-1,0,1,-3,-2,-2,-2,-1,5,3,-2,-1,-4,1,-2,-2,-1,-6,-3,-5,-6,-4,-4,-5,-13,-19,-25,-30,-27,-33,-38,-46,-49,-55,-59,-61,-68,-73,-77,-78,-81,-85
Essex,Workplace,E10000012,Essex,E10,County,-5,-16,-16,-16,-17,-17,-2,-3,-2,1,1,-1,0,-1,0,1,0,1,-1,0,1,0,0,-1,0,-2,-4,-2,-4,-8,-15,-21,-26,-27,-24,-30,-44,-58,-64,-66,-66,-57,-56
Essex,Residential,E10000012,Essex,E10,County,2,2,2,2,3,2,0,0,2,0,0,1,1,1,-1,1,0,1,2,0,0,0,1,1,1,2,3,3,2,4,7,10,12,13,11,9,18,24,27,28,28,20,16
Falkirk,Retail & recreation,S12000014,Falkirk,S12,Council Area,0,1,5,3,-1,-11,-7,7,-6,3,7,5,6,7,2,6,5,12,6,3,1,5,1,-4,5,-4,1,-3,2,-4,-12,-15,-16,-20,-41,-43,-37,-68,-72,-74,-74,-80,-78
Falkirk,Grocery & pharmacy,S12000014,Falkirk,S12,Council Area,-5,-1,0,1,-2,-2,0,0,-1,4,1,3,4,3,-1,4,6,8,8,4,2,1,2,3,4,11,12,12,12,16,20,21,25,11,9,-8,-6,-18,-21,-25,-25,-31,-38
Falkirk,Parks,S12000014,Falkirk,S12,Council Area,NA,NA,NA,NA,-5,-4,-29,14,NA,NA,NA,NA,-4,-6,-24,NA,NA,NA,NA,NA,-22,9,NA,NA,NA,NA,NA,-7,24,NA,NA,NA,NA,NA,-6,23,NA,NA,-25,-27,-33,-38,-26
Falkirk,Transit stations,S12000014,Falkirk,S12,Council Area,-1,-4,-3,2,-4,-5,-12,7,-3,-1,-2,-2,1,4,-5,3,2,0,-2,-1,0,14,2,-8,-6,-10,-7,-9,-6,-11,-25,-32,-32,-33,-39,-25,-45,-59,-65,-69,-67,-67,-56
Falkirk,Workplace,S12000014,Falkirk,S12,Council Area,-2,-16,-11,0,-3,-3,-1,3,-1,1,2,1,1,2,-1,0,1,1,0,1,1,1,0,0,0,-2,-3,0,0,-9,-13,-19,-24,-24,-18,-23,-41,-56,-64,-67,-66,-54,-47
Falkirk,Residential,S12000014,Falkirk,S12,Council Area,NA,2,2,1,1,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,1,4,7,9,10,11,10,NA,15,23,25,26,27,NA,NA
Fermanagh And Omagh,Retail & recreation,N09000006,Fermanagh and Omagh,N09,Local Government District,2,9,8,4,3,0,2,2,-5,-3,-2,4,4,-5,7,2,1,8,5,7,6,11,1,3,2,-2,0,-15,-12,4,-32,-24,-27,-32,-46,-54,-40,-63,-71,-73,-73,-80,-86
Fermanagh And Omagh,Grocery & pharmacy,N09000006,Fermanagh and Omagh,N09,Local Government District,-6,-3,-3,-1,-1,1,1,1,2,2,-1,0,7,-1,3,2,1,4,3,6,2,6,4,8,9,26,20,10,9,22,-9,2,-1,-4,3,-14,-14,-22,-28,-32,-29,-31,-47
Fermanagh And Omagh,Parks,N09000006,Fermanagh and Omagh,N09,Local Government District,NA,NA,NA,NA,NA,NA,-11,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,NA,NA,NA,NA,NA,-19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-32,-51,-55
Fermanagh And Omagh,Transit stations,N09000006,Fermanagh and Omagh,N09,Local Government District,-10,-17,-16,-10,-9,-12,-9,0,-9,-1,1,3,-9,-17,2,-1,0,-6,4,-1,-8,2,-6,1,-11,-3,-16,-22,-23,-25,-51,-25,-27,-36,-31,-23,-39,-54,-56,-56,-59,-59,-54
Fermanagh And Omagh,Workplace,N09000006,Fermanagh and Omagh,N09,Local Government District,-3,-18,-16,-11,-7,-8,-6,-3,-6,-1,0,-1,1,-5,-1,-1,0,1,0,-1,-3,-2,0,0,0,0,-2,-8,-11,-28,-66,-21,-22,-22,-26,-34,-33,-46,-52,-56,-58,-55,-52
Fermanagh And Omagh,Residential,N09000006,Fermanagh and Omagh,N09,Local Government District,NA,3,3,4,2,3,NA,NA,3,1,2,0,0,NA,NA,0,-1,0,0,0,NA,NA,0,1,1,2,2,NA,NA,NA,NA,11,13,14,NA,NA,15,21,23,26,27,NA,NA
Fife,Retail & recreation,S12000047,Fife,S12,Council Area,0,3,2,4,1,-1,-7,8,-7,5,5,5,3,12,3,6,10,9,9,10,6,10,7,4,4,1,5,-2,2,2,-8,-10,-9,-16,-37,-42,-37,-67,-71,-73,-73,-80,-79
Fife,Grocery & pharmacy,S12000047,Fife,S12,Council Area,0,3,1,1,0,3,0,6,-1,6,2,4,4,4,1,5,3,6,7,6,5,4,3,4,4,10,14,12,13,18,19,20,24,13,11,-6,-6,-21,-23,-25,-24,-29,-38
Fife,Parks,S12000047,Fife,S12,Council Area,-11,4,-1,-2,0,-20,-31,21,-24,12,14,26,-16,10,-24,13,42,29,32,21,3,24,5,6,-7,-6,23,13,30,9,12,12,45,44,27,65,-4,-18,-23,-28,-37,-38,-32
Fife,Transit stations,S12000047,Fife,S12,Council Area,-2,-4,2,-1,1,-5,-11,7,-8,3,3,3,0,4,-10,1,4,4,3,3,5,16,-1,-1,-4,-3,-2,-6,-3,-10,-17,-20,-20,-23,-26,-11,-41,-58,-64,-65,-66,-64,-56
Fife,Workplace,S12000047,Fife,S12,Council Area,0,1,1,2,1,0,-2,2,0,2,2,2,1,2,1,1,2,1,2,2,3,4,2,2,1,0,-2,-1,0,-6,-11,-16,-21,-22,-20,-22,-41,-58,-64,-67,-67,-54,-51
Fife,Residential,S12000047,Fife,S12,Council Area,0,1,1,0,1,2,2,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,2,1,2,1,3,6,8,9,9,9,7,15,22,24,26,26,18,14
Flintshire,Retail & recreation,W06000005,Flintshire,W06,Unitary Authority,-5,7,9,7,4,6,-2,-1,-2,2,-1,-1,3,3,7,4,5,4,3,5,4,5,-2,2,1,1,4,-2,-5,1,-5,-9,-10,-16,-35,-48,-33,-61,-64,-67,-68,-76,-80
Flintshire,Grocery & pharmacy,W06000005,Flintshire,W06,Unitary Authority,-4,0,0,-2,-2,0,-1,2,0,7,-3,4,2,3,6,4,2,2,6,5,4,7,2,9,4,12,14,13,13,22,26,24,32,12,8,-11,-7,-19,-25,-25,-27,-38,-44
Flintshire,Parks,W06000005,Flintshire,W06,Unitary Authority,NA,NA,NA,-14,-7,-8,-25,-17,NA,NA,NA,NA,-19,-12,22,NA,NA,NA,NA,NA,47,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,42,NA,NA,-7,-23,-31,-49,-48
Flintshire,Transit stations,W06000005,Flintshire,W06,Unitary Authority,-10,-2,-1,-9,-6,-3,-4,-2,-4,-4,-8,-3,-3,-2,7,1,-3,-1,-3,-3,-3,-1,-8,-3,-9,-9,-5,-7,-6,-6,-15,-25,-18,-25,-27,-14,-32,-50,-51,-51,-54,-66,-60
Flintshire,Workplace,W06000005,Flintshire,W06,Unitary Authority,-1,-17,-17,-17,-18,-19,0,-3,-1,1,-2,-1,0,0,1,1,-1,0,0,-1,1,-3,0,-1,-1,-1,-4,-2,-4,-6,-11,-18,-22,-25,-21,-28,-38,-50,-58,-60,-63,-55,-54
Flintshire,Residential,W06000005,Flintshire,W06,Unitary Authority,NA,2,3,3,4,4,0,NA,1,0,1,1,1,0,NA,0,0,0,0,0,0,NA,0,1,0,1,1,1,NA,2,5,8,10,11,9,NA,15,21,23,25,26,NA,NA
Glasgow City,Retail & recreation,S12000049,Glasgow City,S12,Council Area,3,0,1,-3,14,-7,-14,13,-2,1,-5,19,1,-5,0,3,7,9,8,6,-1,4,2,2,-1,11,-3,-20,-13,-13,-23,-32,-29,-40,-63,-61,-53,-75,-80,-80,-82,-87,-84
Glasgow City,Grocery & pharmacy,S12000049,Glasgow City,S12,Council Area,-3,0,2,0,1,-6,-3,0,0,4,0,3,0,-1,-1,5,4,8,6,5,0,3,3,5,5,12,13,9,9,13,13,18,21,4,-5,-18,-17,-26,-31,-34,-35,-39,-44
Glasgow City,Parks,S12000049,Glasgow City,S12,Council Area,-1,2,9,3,7,-14,-24,3,-3,6,4,11,-7,-7,-9,14,12,26,9,5,-12,9,2,0,-4,-6,2,-29,-1,-11,-25,-23,-2,-5,-39,0,-37,-46,-51,-51,-52,-55,-37
Glasgow City,Transit stations,S12000049,Glasgow City,S12,Council Area,-5,0,1,0,4,0,-14,8,-4,-2,-2,3,2,-3,0,-1,-3,-1,-2,2,-1,8,-3,-7,-8,-7,-10,-23,-16,-23,-37,-48,-50,-54,-67,-62,-65,-78,-82,-83,-84,-85,-81
Glasgow City,Workplace,S12000049,Glasgow City,S12,Council Area,0,1,2,2,1,-1,0,2,0,2,2,1,0,1,1,0,1,1,1,1,2,3,-1,0,0,-2,-4,-2,-4,-13,-20,-28,-32,-34,-31,-32,-51,-65,-71,-73,-74,-63,-60
Glasgow City,Residential,S12000049,Glasgow City,S12,Council Area,1,1,0,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,1,1,1,2,3,2,5,9,11,12,14,12,9,18,25,28,29,31,21,16
Gloucestershire,Retail & recreation,E10000013,Gloucestershire,E10,Country,-11,12,8,8,7,5,-2,-2,-6,-2,-2,2,4,0,4,4,3,0,0,6,0,5,3,12,9,9,6,-9,-16,-4,-16,-25,-27,-30,-50,-56,-45,-72,-75,-76,-78,-86,-86
Gloucestershire,Grocery & pharmacy,E10000013,Gloucestershire,E10,Country,-4,3,1,0,1,-2,-1,-3,-1,4,0,1,0,3,3,5,1,2,5,4,2,2,6,4,5,11,7,6,5,20,23,17,18,7,2,-13,-9,-25,-28,-28,-32,-41,-48
Gloucestershire,Parks,E10000013,Gloucestershire,E10,Country,-40,20,12,11,6,17,2,-6,-6,6,9,10,-13,-24,-1,16,8,0,4,24,6,10,9,14,24,19,25,7,-22,32,4,-6,-12,5,12,24,11,-11,-4,-8,-26,-54,-49
Gloucestershire,Transit stations,E10000013,Gloucestershire,E10,Country,-6,7,1,0,3,5,4,13,1,-3,0,2,2,-7,2,3,2,2,6,10,6,13,9,19,17,22,23,-2,-5,1,-17,-22,-24,-28,-33,-30,-37,-53,-59,-60,-65,-71,-73
Gloucestershire,Workplace,E10000013,Gloucestershire,E10,Country,-3,-17,-16,-16,-16,-17,-1,-1,-2,1,1,0,0,1,2,1,1,1,1,0,3,3,0,-1,-1,-2,-5,-2,-4,-6,-12,-20,-24,-25,-24,-28,-42,-56,-62,-64,-64,-57,-55
Gloucestershire,Residential,E10000013,Gloucestershire,E10,Country,2,2,3,3,3,2,0,-1,1,0,0,0,1,1,0,0,0,1,1,0,0,-1,1,1,1,2,2,2,2,3,7,11,12,12,10,8,17,24,26,27,27,19,15
Greater London,Retail & recreation,E12000007,London,E12,Region,-9,11,4,3,2,3,-4,-1,-3,-1,-2,0,-2,-2,9,2,-1,-3,-9,1,-2,-1,-3,-6,-6,-8,-13,-20,-24,-14,-28,-33,-36,-46,-62,-67,-59,-76,-79,-80,-81,-85,-87
Greater London,Grocery & pharmacy,E12000007,London,E12,Region,-11,4,-2,-3,-4,-1,-3,-3,0,2,0,-1,-1,0,4,6,2,1,-5,8,3,3,6,7,8,14,15,9,6,23,19,28,30,8,-8,-20,-13,-25,-28,-32,-32,-41,-48
Greater London,Parks,E12000007,London,E12,Region,-41,28,11,3,-4,10,-7,-9,-1,5,11,4,-9,-21,24,15,3,-7,-21,14,-6,-2,3,-3,9,-3,-4,-17,-21,26,-8,-7,-28,-22,-23,-6,-5,-19,-17,-20,-30,-57,-59
Greater London,Transit stations,E12000007,London,E12,Region,-9,-3,-4,-5,-6,-5,-2,1,-3,0,-2,-1,-2,-5,5,-3,-4,-4,-6,-3,-4,-4,-6,-7,-10,-13,-18,-22,-24,-25,-37,-43,-47,-51,-58,-61,-63,-72,-76,-77,-77,-78,-80
Greater London,Workplace,E12000007,London,E12,Region,-4,-13,-13,-13,-13,-14,-1,-1,-1,1,1,0,0,0,1,1,1,0,-1,0,1,0,-1,-2,-3,-5,-9,-4,-7,-18,-29,-36,-41,-44,-34,-40,-60,-70,-73,-75,-75,-63,-62
Greater London,Residential,E12000007,London,E12,Region,1,2,2,3,3,3,0,0,1,0,0,1,1,1,-1,0,0,1,2,1,0,0,1,2,2,3,5,4,4,7,12,16,18,20,15,13,25,31,33,34,35,23,19
Greater Manchester,Retail & recreation,E11000001,Greater Manchester,E11,Metropolitan County,1,7,7,2,3,2,-1,6,-3,-2,-3,8,3,2,5,1,1,0,2,5,-1,9,-4,-2,-4,-1,1,-9,-8,-4,-11,-21,-18,-25,-49,-55,-44,-69,-73,-73,-74,-82,-84
Greater Manchester,Grocery & pharmacy,E11000001,Greater Manchester,E11,Metropolitan County,-4,-2,-2,-5,-3,-6,-4,-4,-3,2,-4,-1,-3,-1,-1,0,1,3,3,2,0,2,-1,3,2,8,9,8,8,18,21,21,25,9,1,-13,-9,-24,-27,-28,-29,-39,-46
Greater Manchester,Parks,E11000001,Greater Manchester,E11,Metropolitan County,-8,7,4,-13,-12,-13,-17,0,-10,-11,-13,2,-12,-9,12,-3,-6,0,10,23,1,15,-13,-6,-7,-3,7,-14,0,8,-2,-29,2,6,-18,21,-10,-20,-15,-12,-21,-56,-44
Greater Manchester,Transit stations,E11000001,Greater Manchester,E11,Metropolitan County,-1,-2,-4,-4,-7,-5,0,6,1,-1,-3,3,3,-1,5,0,-2,-3,-3,1,1,5,-4,-5,-7,-9,-10,-15,-16,-19,-28,-38,-41,-44,-53,-53,-59,-68,-72,-74,-75,-79,-80
Greater Manchester,Workplace,E11000001,Greater Manchester,E11,Metropolitan County,-1,-13,-12,-12,-13,-14,-2,-2,-3,-1,-1,-1,-2,0,0,0,1,1,1,1,1,2,0,0,0,-1,-3,-2,-3,-7,-13,-22,-26,-28,-25,-29,-45,-57,-62,-65,-65,-57,-54
Greater Manchester,Residential,E11000001,Greater Manchester,E11,Metropolitan County,0,2,2,2,3,3,1,0,2,1,1,0,1,0,-1,0,0,0,0,0,0,-1,1,1,1,1,2,2,1,3,6,10,11,12,10,8,17,23,26,27,28,20,16
Gwynedd,Retail & recreation,W06000002,Gwynedd,W06,Local Authority,7,28,22,12,17,8,4,2,1,-1,1,4,-1,5,15,15,11,6,14,13,19,17,9,7,8,9,8,8,15,14,-6,-11,-10,-14,-40,-48,-35,-71,-73,-74,-77,-84,-87
Gwynedd,Grocery & pharmacy,W06000002,Gwynedd,W06,Local Authority,7,19,14,8,15,5,5,1,4,5,1,6,4,6,9,13,10,11,12,16,17,12,13,10,11,19,25,23,18,29,22,19,21,9,13,-13,-8,-32,-37,-38,-41,-49,-55
Gwynedd,Parks,W06000002,Gwynedd,W06,Local Authority,25,79,76,26,59,28,0,22,10,15,12,19,-7,-9,51,39,35,20,49,63,29,61,24,21,23,40,84,41,79,95,45,50,67,68,30,58,26,-20,-26,-24,-40,-69,-62
Gwynedd,Transit stations,W06000002,Gwynedd,W06,Local Authority,0,13,6,-2,4,-6,-5,-1,-2,-6,2,0,-7,-9,4,8,5,0,9,7,3,2,0,-2,0,-2,5,-1,7,1,-14,-17,-11,-8,-12,-4,-30,-48,-52,-56,-60,-65,-65
Gwynedd,Workplace,W06000002,Gwynedd,W06,Local Authority,0,-16,-15,-15,-16,-16,6,3,-4,1,-1,-1,0,8,9,2,3,2,5,5,7,6,2,3,0,1,2,3,6,-6,-7,-15,-19,-19,-23,-26,-40,-54,-61,-62,-64,-58,-56
Gwynedd,Residential,W06000002,Gwynedd,W06,Local Authority,NA,2,2,3,2,4,NA,NA,1,0,0,0,2,NA,NA,0,-1,0,-1,0,NA,NA,1,0,1,0,1,NA,NA,2,5,7,7,9,NA,NA,13,18,NA,NA,NA,NA,NA
Hampshire,Retail & recreation,E10000014,Hampshire,E10,County,-16,9,8,5,5,7,-4,-5,-4,-2,0,3,1,4,7,7,4,0,-4,4,-1,-2,-2,-3,-2,-1,-2,-7,-12,-1,-12,-17,-18,-25,-43,-54,-41,-71,-72,-73,-75,-83,-85
Hampshire,Grocery & pharmacy,E10000014,Hampshire,E10,County,-9,2,-1,-1,-1,1,-2,-2,-1,4,-1,2,2,2,3,5,4,3,2,7,3,2,5,7,5,12,11,7,7,22,28,27,28,13,7,-11,-4,-22,-25,-27,-28,-38,-45
Hampshire,Parks,E10000014,Hampshire,E10,County,-43,26,23,8,4,22,-2,-9,-8,3,10,12,-19,-14,23,20,15,-6,-12,23,9,3,11,3,12,13,16,11,-10,46,8,12,3,12,32,31,20,-5,-1,5,-19,-46,-48
Hampshire,Transit stations,E10000014,Hampshire,E10,County,-18,1,-3,-5,-6,2,8,7,-1,-1,-2,-1,2,1,9,5,2,0,-5,3,4,1,-2,-5,-7,-9,-7,-11,-15,-11,-25,-32,-36,-36,-37,-38,-47,-63,-66,-68,-70,-72,-74
Hampshire,Workplace,E10000014,Hampshire,E10,County,-4,-17,-17,-17,-18,-18,-2,-1,-2,1,1,0,0,0,2,1,1,0,-1,0,2,0,0,0,-1,-1,-4,-2,-4,-8,-15,-23,-27,-29,-23,-28,-46,-59,-65,-67,-67,-55,-54
Hampshire,Residential,E10000014,Hampshire,E10,County,2,2,2,3,3,2,0,-1,1,1,0,1,1,1,-1,0,0,1,2,0,0,0,1,1,1,2,2,2,2,4,8,11,13,13,10,8,18,25,27,28,28,19,15
Hartlepool,Retail & recreation,E06000001,Hartlepool,E06,Unitary Authority,2,2,5,8,7,1,-6,-3,-9,3,-1,6,3,5,7,0,4,0,4,4,-2,7,-2,4,1,1,-2,-3,-1,-3,-9,-16,-14,-19,-43,-53,-44,-72,-74,-73,-76,-82,-86
Hartlepool,Grocery & pharmacy,E06000001,Hartlepool,E06,Unitary Authority,-3,4,-1,4,1,1,2,1,0,9,2,3,6,4,2,5,8,6,7,7,2,2,6,7,8,11,12,11,8,23,26,26,27,13,10,-12,-2,-25,-23,-28,-30,-38,-44
Hartlepool,Parks,E06000001,Hartlepool,E06,Unitary Authority,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hartlepool,Transit stations,E06000001,Hartlepool,E06,Unitary Authority,-7,4,-5,-3,-3,-4,-10,-2,-8,-1,-5,-1,-3,0,-9,7,9,3,11,14,14,2,14,3,-5,7,13,3,4,-7,-11,-21,-14,-13,-31,-26,-39,-52,-49,-51,-58,-68,-70
Hartlepool,Workplace,E06000001,Hartlepool,E06,Unitary Authority,-1,-15,-14,-14,-18,-14,0,4,-2,3,4,2,3,3,3,3,5,3,3,4,6,7,3,3,2,2,4,2,0,0,-5,-11,-18,-17,-20,-21,-35,-50,-57,-60,-59,-55,-51
Hartlepool,Residential,E06000001,Hartlepool,E06,Unitary Authority,NA,2,2,2,3,3,NA,NA,2,0,0,0,0,NA,NA,0,-1,0,0,0,NA,NA,1,1,1,1,1,NA,NA,1,3,6,7,7,NA,NA,13,19,NA,NA,NA,NA,NA
Herefordshire,Retail & recreation,E06000019,"Herefordshire, County of",E06,Unitary Authority,-19,-2,0,2,6,7,0,-2,0,2,5,7,-2,6,10,5,6,2,7,4,7,7,2,2,2,4,-2,0,-8,2,-11,-19,-19,-26,-43,-54,-40,-67,-72,-72,-75,-84,-86
Herefordshire,Grocery & pharmacy,E06000019,"Herefordshire, County of",E06,Unitary Authority,-9,2,2,1,-1,-2,-1,-3,2,7,2,3,1,4,4,4,3,4,5,3,1,6,5,6,4,8,7,6,6,14,22,13,16,5,3,-15,-11,-25,-28,-32,-34,-43,-50
Herefordshire,Parks,E06000019,"Herefordshire, County of",E06,Unitary Authority,-19,22,24,4,5,9,-8,-4,-5,1,3,8,-13,-20,5,15,14,2,7,22,3,12,5,9,12,2,20,5,0,19,6,-8,-11,4,4,20,14,-8,-8,-7,-18,-49,-42
Herefordshire,Transit stations,E06000019,"Herefordshire, County of",E06,Unitary Authority,-22,-2,-5,-6,-5,-1,0,-6,2,8,-1,5,4,-4,2,12,9,0,7,1,9,18,4,6,-8,-1,-3,-9,-2,2,-10,-20,-27,-24,-27,-7,-30,-50,-51,-54,-59,-68,-64
Herefordshire,Workplace,E06000019,"Herefordshire, County of",E06,Unitary Authority,-16,-29,-18,-17,-17,-17,0,-2,0,2,1,1,-2,1,0,3,4,1,3,0,1,1,1,3,0,0,-2,-2,-5,-3,-5,-12,-17,-19,-21,-26,-32,-45,-52,-55,-55,-50,-46
