Country,category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
KR,Parks,-31,-17,-5,14,7,-10,-32,-12,6,-38,5,1,-38,-13,-17,10,2,-7,-2,1,-16,34,16,-32,23,19,2,4,-3,23,12,47,-18,17,31,52,47,40,61,3,4,16,51,60,54,44,44,36,25,46
KR,Residential,4,5,2,2,2,5,9,8,8,10,9,9,13,12,11,9,8,10,9,10,11,9,8,9,8,8,9,9,9,8,6,7,9,8,7,7,7,5,7,8,10,8,6,7,5,7,7,7,7,6
KR,Retail & recreation,-11,-7,-1,-5,-7,-15,-26,-31,-21,-33,-29,-30,-37,-38,-41,-23,-24,-30,-28,-27,-32,-27,-19,-27,-22,-23,-24,-25,-28,-17,-19,-19,-28,-20,-21,-20,-15,-16,-18,-25,-23,-23,-19,-13,-11,-18,-18,-18,-19,-17
KR,Transit stations,-15,-6,-3,-4,-6,-10,-24,-25,-15,-26,-22,-24,-30,-32,-36,-20,-21,-25,-25,-22,-29,-24,-17,-25,-18,-20,-20,-22,-29,-16,-17,-16,-25,-17,-18,-17,-13,-13,-14,-21,-20,-20,-17,-12,-10,-15,-15,-13,-16,-14
KR,Workplaces,-3,0,2,1,1,-0,-4,-9,-6,-10,-11,-10,-12,-10,-16,-8,-9,-11,-9,-9,-8,-14,-6,-9,-8,-7,-7,-5,-12,-6,-6,-7,-7,-6,-5,-12,-5,-6,-8,-7,-8,-7,-12,-6,-5,-8,-6,-6,-8,-13
MX,Grocery & pharmacy,6,4,-1,0,-1,-2,-0,1,-0,-2,-1,1,6,8,9,6,3,4,3,0,2,3,-6,0,2,4,6,10,7,5,5,3,1,-3,-7,-13,-14,-16,-16,-17,-17,-14,-19,-15,-15,-13,-12,-11,-11,-19
MX,Parks,7,3,3,2,2,-1,7,8,6,7,3,-0,3,5,7,2,2,2,3,-0,4,10,-8,2,2,3,3,6,6,-7,-8,-14,-16,-22,-32,-37,-30,-33,-36,-36,-37,-39,-46,-36,-37,-39,-41,-43,-46,-52
MX,Residential,-1,-2,-2,-1,-1,-1,-0,-1,-1,-1,-1,-1,-2,-1,-1,-2,-2,-1,-1,-1,-0,-0,7,-2,-1,-2,-1,-1,-1,13,2,6,7,9,9,8,12,14,16,16,17,12,11,15,16,18,19,21,16,13
MX,Retail & recreation,7,2,0,-0,0,-2,0,2,-2,-2,-3,1,3,6,6,1,1,1,2,-1,1,3,-11,-2,-1,1,2,2,0,-11,-7,-13,-17,-23,-31,-37,-31,-35,-37,-37,-39,-40,-45,-35,-35,-37,-47,-56,-57,-62
MX,Transit stations,6,5,2,3,3,4,4,7,4,2,1,2,6,5,7,4,2,3,3,3,2,4,-17,3,2,3,5,4,-4,-30,-9,-17,-22,-26,-29,-33,-37,-41,-44,-46,-47,-43,-47,-47,-48,-50,-52,-52,-48,-51
